,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,deletions,additions,changedFiles,comments,org,repo,openTimeDays
0,CLOSED,MDExOlB1bGxSZXF1ZXN0OTg4NjgwMDI=,MDEV-11619: mtr: mem is pure flag,https://github.com/MariaDB/server/pull/285,2016-12-21 03:55:19+00:00,2017-01-10T04:59:46Z,2017-01-10 04:59:46+00:00,{'edges': []},285,MEMBER,grooverdan,,,3,5,1,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-22T00:40:39Z', 'updatedAt': '2016-12-22T00:41:02Z', 'url': 'https://github.com/MariaDB/server/pull/285#issuecomment-268687790', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-22T01:15:24Z', 'updatedAt': '2016-12-22T01:15:24Z', 'url': 'https://github.com/MariaDB/server/pull/285#issuecomment-268692782', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,9.836585648148148
1,MERGED,MDExOlB1bGxSZXF1ZXN0OTg0OTAzMDM=,"MDEV-11613 - Travis: Revert to optional MYSQL_BUILD_{CC,CXX}",https://github.com/MariaDB/server/pull/281,2016-12-18 22:37:14+00:00,2017-03-07T21:46:42Z,2017-03-07 16:51:09+00:00,{'edges': []},281,MEMBER,grooverdan,{'login': 'svoj'},{'oid': 'd2f5e624223fe502ddf4c6f42062c29edb988627'},0,5,2,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-19T03:57:47Z', 'updatedAt': '2016-12-19T03:57:47Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-267877021', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-20T11:01:01Z', 'updatedAt': '2016-12-20T11:01:01Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-268215343', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-21T02:33:34Z', 'updatedAt': '2016-12-22T01:45:20Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-268418109', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-12-21T06:10:35Z', 'updatedAt': '2016-12-21T06:10:35Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-268444543', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-22T01:44:55Z', 'updatedAt': '2016-12-22T01:44:55Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-268696724', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-22T02:08:59Z', 'updatedAt': '2016-12-22T02:08:59Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-268699860', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-01-22T20:59:29Z', 'updatedAt': '2017-01-22T20:59:29Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-274358914', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-01-23T01:03:52Z', 'updatedAt': '2017-01-23T01:03:52Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-274375397', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-03-07T16:51:18Z', 'updatedAt': '2017-03-07T16:51:18Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-284784121', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-03-07T21:46:37Z', 'updatedAt': '2017-03-07T21:46:37Z', 'url': 'https://github.com/MariaDB/server/pull/281#issuecomment-284869892', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,12.057476851851852
2,CLOSED,MDExOlB1bGxSZXF1ZXN0OTg0Nzk4MTQ=,MDEV-11612 - some clang warnings fixed,https://github.com/MariaDB/server/pull/280,2016-12-18 16:39:26+00:00,2017-06-22T15:56:33Z,2017-06-01 09:50:45+00:00,{'edges': []},280,CONTRIBUTOR,kevgs,,,411,386,10,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-19T01:04:08Z', 'updatedAt': '2016-12-19T01:04:08Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-267861046', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-12-19T10:13:11Z', 'updatedAt': '2016-12-19T10:13:11Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-267928001', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-19T22:12:55Z', 'updatedAt': '2016-12-19T22:12:55Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-268093860', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-12-19T22:18:58Z', 'updatedAt': '2016-12-19T22:18:58Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-268095140', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-20T12:09:09Z', 'updatedAt': '2016-12-20T12:09:09Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-268227749', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-03-20T05:00:13Z', 'updatedAt': '2017-03-20T05:00:13Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-287679179', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-06-22T15:17:58Z', 'updatedAt': '2017-06-22T15:17:58Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-310411895', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-06-22T15:21:38Z', 'updatedAt': '2017-06-22T15:21:38Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-310413026', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-06-22T15:56:33Z', 'updatedAt': '2017-06-22T15:56:33Z', 'url': 'https://github.com/MariaDB/server/pull/280#issuecomment-310423655', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,12.305949074074075
3,CLOSED,MDExOlB1bGxSZXF1ZXN0OTgxNTMzODE=,MDEV-11611 - fix Ninja build,https://github.com/MariaDB/server/pull/277,2016-12-15 13:47:26+00:00,2017-03-09T09:15:32Z,2017-03-09 09:15:32+00:00,{'edges': []},277,CONTRIBUTOR,kevgs,,,2,2,1,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-15T14:11:26Z', 'updatedAt': '2016-12-15T14:11:26Z', 'url': 'https://github.com/MariaDB/server/pull/277#issuecomment-267336358', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-15T14:35:37Z', 'updatedAt': '2016-12-15T14:35:37Z', 'url': 'https://github.com/MariaDB/server/pull/277#issuecomment-267342092', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-12-15T14:55:17Z', 'updatedAt': '2016-12-15T14:55:17Z', 'url': 'https://github.com/MariaDB/server/pull/277#issuecomment-267347000', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-20T11:49:56Z', 'updatedAt': '2016-12-20T11:49:56Z', 'url': 'https://github.com/MariaDB/server/pull/277#issuecomment-268224216', 'author': {'login': 'svoj'}}}]}",MariaDB,server,15.425393518518518
4,CLOSED,MDExOlB1bGxSZXF1ZXN0OTY1NDQ4MjQ=,MDEV-8692 prefschema test failures on ARM (on Debian build system),https://github.com/MariaDB/server/pull/269,2016-12-05 15:04:07+00:00,2017-07-17T10:34:06Z,2017-07-17 10:34:06+00:00,{'edges': []},269,CONTRIBUTOR,hhorak,,,6,40,6,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-05T21:53:36Z', 'updatedAt': '2016-12-05T21:53:36Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-264989700', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-07T06:34:29Z', 'updatedAt': '2016-12-07T06:34:29Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-265367907', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-07T06:37:22Z', 'updatedAt': '2016-12-07T06:37:22Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-265368246', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-12-07T06:43:20Z', 'updatedAt': '2016-12-07T06:43:20Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-265369080', 'author': {'login': 'akopytov'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-07-17T09:26:42Z', 'updatedAt': '2017-07-17T09:27:00Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-315706484', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-07-17T09:28:04Z', 'updatedAt': '2017-07-17T09:28:13Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-315706811', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-07-17T10:34:06Z', 'updatedAt': '2017-07-17T10:34:06Z', 'url': 'https://github.com/MariaDB/server/pull/269#issuecomment-315720072', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,25.372141203703702
5,CLOSED,MDExOlB1bGxSZXF1ZXN0OTYyMjIyMjg=,MDEV-11455: create status variable innodb_buffer_pool_load_incomplete,https://github.com/MariaDB/server/pull/265,2016-12-02 04:59:52+00:00,2018-02-18T01:27:05Z,2017-08-31 10:00:46+00:00,{'edges': []},265,MEMBER,grooverdan,,,6,298,9,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-12-08T01:11:43Z', 'updatedAt': '2016-12-08T01:11:43Z', 'url': 'https://github.com/MariaDB/server/pull/265#issuecomment-265624070', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-08-31T10:00:46Z', 'updatedAt': '2017-08-31T10:00:46Z', 'url': 'https://github.com/MariaDB/server/pull/265#issuecomment-326249763', 'author': {'login': 'svoj'}}}]}",MariaDB,server,28.79175925925926
6,MERGED,MDExOlB1bGxSZXF1ZXN0OTYyMTkxMjY=,MDEV-11454: Make innodb_buffer_pool_dump_pct refer to the entire buff…,https://github.com/MariaDB/server/pull/264,2016-12-02 04:13:06+00:00,2017-05-08T05:31:54Z,2017-02-24 13:12:10+00:00,{'edges': []},264,MEMBER,grooverdan,{'login': 'dr-m'},{'oid': '342b48b7b1cf9c5ed3db04d5b7abff335d6e3090'},4,194,5,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-02-24T20:05:37Z', 'updatedAt': '2017-02-24T20:05:37Z', 'url': 'https://github.com/MariaDB/server/pull/264#issuecomment-282391068', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-02-27T04:33:20Z', 'updatedAt': '2017-02-27T04:33:20Z', 'url': 'https://github.com/MariaDB/server/pull/264#issuecomment-282625906', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,28.824236111111112
7,CLOSED,MDExOlB1bGxSZXF1ZXN0OTU2MTkzOTY=,MDEV-11371 - Big column compressed(innodb),https://github.com/MariaDB/server/pull/261,2016-11-29 03:16:06+00:00,2017-08-31T14:36:35Z,2017-08-31 14:36:35+00:00,{'edges': []},261,NONE,GCSAdmin,,,36,1078,24,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-29T07:49:31Z', 'updatedAt': '2016-11-29T07:49:31Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263499938', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-29T07:54:53Z', 'updatedAt': '2016-11-29T07:54:53Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263500810', 'author': {'login': 'laurynas-biveinis'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-29T08:02:07Z', 'updatedAt': '2016-11-29T08:02:07Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263502059', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-29T08:47:45Z', 'updatedAt': '2016-11-29T09:47:10Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263510773', 'author': {'login': 'GCSAdmin'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2016-11-29T08:50:04Z', 'updatedAt': '2016-11-29T08:50:04Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263511249', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-29T09:00:42Z', 'updatedAt': '2016-11-29T09:01:20Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263513560', 'author': {'login': 'janlindstrom'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-29T09:18:43Z', 'updatedAt': '2016-11-29T09:18:59Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263517326', 'author': {'login': 'willhan123'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-29T09:33:48Z', 'updatedAt': '2016-11-29T09:33:48Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263520912', 'author': {'login': 'janlindstrom'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-29T10:55:12Z', 'updatedAt': '2016-11-29T10:55:12Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263539464', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-29T13:38:25Z', 'updatedAt': '2016-11-29T13:38:25Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-263571904', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-13T18:37:18Z', 'updatedAt': '2016-12-13T18:37:18Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-266822927', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-12-13T18:41:22Z', 'updatedAt': '2016-12-13T18:41:22Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-266823979', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-04-21T14:03:24Z', 'updatedAt': '2017-04-21T14:03:24Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-296199231', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-04-22T12:42:18Z', 'updatedAt': '2017-04-22T12:42:18Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-296370695', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-04-22T15:14:13Z', 'updatedAt': '2017-04-22T15:14:13Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-296379889', 'author': {'login': 'laurynas-biveinis'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-04-22T15:24:01Z', 'updatedAt': '2017-04-22T15:24:01Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-296380499', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T12:33:15Z', 'updatedAt': '2017-05-08T12:33:15Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299854308', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T12:38:05Z', 'updatedAt': '2017-05-08T12:38:05Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299855199', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T12:47:46Z', 'updatedAt': '2017-05-08T12:47:46Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299857167', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T13:15:14Z', 'updatedAt': '2017-05-08T13:15:14Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299863465', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T13:52:18Z', 'updatedAt': '2017-05-08T13:52:18Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299872666', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-08T14:12:40Z', 'updatedAt': '2017-05-08T14:12:51Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-299878123', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-05-09T03:07:00Z', 'updatedAt': '2017-05-09T03:07:00Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-300048996', 'author': {'login': 'vinchen'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-09T06:45:36Z', 'updatedAt': '2017-05-09T06:45:36Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-300075979', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-09T13:32:40Z', 'updatedAt': '2017-05-09T13:32:40Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-300164799', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-11T07:24:39Z', 'updatedAt': '2017-05-11T07:29:35Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-300705412', 'author': {'login': 'HugeFelix'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-12T17:05:36Z', 'updatedAt': '2017-05-12T17:05:36Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-301132279', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-13T10:23:08Z', 'updatedAt': '2017-05-13T10:23:08Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-301239331', 'author': {'login': 'HugeFelix'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-05-13T22:35:45Z', 'updatedAt': '2017-05-13T22:35:45Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-301278909', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2017-08-31T14:36:35Z', 'updatedAt': '2017-08-31T14:36:35Z', 'url': 'https://github.com/MariaDB/server/pull/261#issuecomment-326315499', 'author': {'login': 'svoj'}}}]}",MariaDB,server,31.863819444444445
8,CLOSED,MDExOlB1bGxSZXF1ZXN0OTQ2NjM4Njc=,[MDEV-10570] Merge Existing Community Patch “Flashback”,https://github.com/MariaDB/server/pull/258,2016-11-21 17:49:35+00:00,2017-03-07T17:01:51Z,2017-03-07 17:01:51+00:00,{'edges': []},258,CONTRIBUTOR,plinux,,,51,1374,11,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2017-03-07T17:01:51Z', 'updatedAt': '2017-03-07T17:01:51Z', 'url': 'https://github.com/MariaDB/server/pull/258#issuecomment-284787400', 'author': {'login': 'svoj'}}}]}",MariaDB,server,39.2572337962963
9,MERGED,MDExOlB1bGxSZXF1ZXN0OTI3NTY0OTY=,"MDEV-11271 - Add ""leaves"" algorithm to OQGRAPH.",https://github.com/MariaDB/server/pull/257,2016-11-08 11:02:00+00:00,2017-12-05T12:17:50Z,2017-12-05 11:11:03+00:00,{'edges': []},257,CONTRIBUTOR,pprkut,{'login': 'cvicentiu'},{'oid': 'a34b976d8efc98b37c15578e4af012319c03f11d'},0,668,7,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-11T10:50:14Z', 'updatedAt': '2016-11-11T10:50:14Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-259932124', 'author': {'login': 'pastcompute'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-11T11:06:18Z', 'updatedAt': '2016-11-11T11:06:18Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-259934786', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-11-11T11:34:37Z', 'updatedAt': '2016-11-11T11:34:37Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-259939308', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2016-11-11T12:21:44Z', 'updatedAt': '2016-11-11T12:21:44Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-259946326', 'author': {'login': 'pprkut'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2017-12-05T11:11:42Z', 'updatedAt': '2017-12-05T11:11:42Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-349273074', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2017-12-05T12:17:50Z', 'updatedAt': '2017-12-05T12:17:50Z', 'url': 'https://github.com/MariaDB/server/pull/257#issuecomment-349287652', 'author': {'login': 'pprkut'}}}]}",MariaDB,server,52.540277777777774
