,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,deletions,additions,changedFiles,comments,org,repo,openTimeDays
0,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ2NDA2NDQ4,Apple Silicon is a 64-bit platform,https://github.com/MariaDB/server/pull/1730,2020-12-29 09:33:37+00:00,2021-01-26T13:08:04Z,,{'edges': []},1730,FIRST_TIME_CONTRIBUTOR,fxcoudert,,,1,1,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-29T09:33:42Z', 'updatedAt': '2020-12-29T09:34:19Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-752011709', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2021-01-22T15:16:06Z', 'updatedAt': '2021-01-22T15:16:06Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-765475423', 'author': {'login': 'lonnylot'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2021-01-22T15:18:29Z', 'updatedAt': '2021-01-22T15:18:29Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-765477344', 'author': {'login': 'lonnylot'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-26T13:07:22Z', 'updatedAt': '2021-01-26T13:08:04Z', 'url': 'https://github.com/MariaDB/server/pull/1730#issuecomment-767529722', 'author': {'login': 'an3l'}}}]}",MariaDB,server,1.6016550925925925
1,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ1ODA0MDEz,Misc Debian packaging fixes,https://github.com/MariaDB/server/pull/1729,2020-12-27 12:52:00+00:00,2021-01-25T21:13:28Z,,{'edges': []},1729,CONTRIBUTOR,ottok,,,35,120,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-27T18:18:12Z', 'updatedAt': '2020-12-27T18:18:12Z', 'url': 'https://github.com/MariaDB/server/pull/1729#issuecomment-751499902', 'author': {'login': 'ottok'}}}]}",MariaDB,server,3.463888888888889
2,OPEN,MDExOlB1bGxSZXF1ZXN0NTQ1NzIxMDU4,Extend and update debconf translations,https://github.com/MariaDB/server/pull/1728,2020-12-26 18:12:13+00:00,2021-01-25T21:19:22Z,,{'edges': []},1728,CONTRIBUTOR,ottok,,,1877,517,23,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-12-26T18:12:21Z', 'updatedAt': '2020-12-26T18:17:45Z', 'url': 'https://github.com/MariaDB/server/pull/1728#issuecomment-751381897', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,4.2415162037037035
3,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzNDk5NjE4,MDEV-23851 BF-BF Conflict issue because of UK GAP locks,https://github.com/MariaDB/server/pull/1724,2020-12-21 13:57:42+00:00,2021-01-05T07:31:04Z,,{'edges': []},1724,CONTRIBUTOR,sjaakola,,,0,466,8,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-05T07:31:04Z', 'updatedAt': '2021-01-05T07:31:04Z', 'url': 'https://github.com/MariaDB/server/pull/1724#issuecomment-754459111', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,9.41826388888889
4,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTM2OTcy,Deb: Use build flag to enforce default charset as utf8mb4,https://github.com/MariaDB/server/pull/1722,2020-12-20 21:49:07+00:00,2020-12-26T09:49:50Z,,{'edges': []},1722,CONTRIBUTOR,ottok,,,0,35,2,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T11:49:40Z', 'updatedAt': '2020-12-21T11:49:40Z', 'url': 'https://github.com/MariaDB/server/pull/1722#issuecomment-748933871', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T09:49:50Z', 'updatedAt': '2020-12-26T09:49:50Z', 'url': 'https://github.com/MariaDB/server/pull/1722#issuecomment-751339733', 'author': {'login': 'ottok'}}}]}",MariaDB,server,10.090891203703704
5,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTEyOTcw,Fix various spelling errors still found in code,https://github.com/MariaDB/server/pull/1719,2020-12-20 19:09:30+00:00,2020-12-20T19:19:48Z,,{'edges': []},1719,CONTRIBUTOR,ottok,,,92,91,60,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-20T19:19:48Z', 'updatedAt': '2020-12-20T19:19:48Z', 'url': 'https://github.com/MariaDB/server/pull/1719#issuecomment-748649064', 'author': {'login': 'ottok'}}}]}",MariaDB,server,10.201736111111112
6,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTExNTA3,MDEV-23892: Fix riscv64 build failure by linking correctly with pthread,https://github.com/MariaDB/server/pull/1717,2020-12-20 18:57:43+00:00,2021-01-10T22:34:13Z,,{'edges': []},1717,CONTRIBUTOR,ottok,,,0,1,1,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T06:23:00Z', 'updatedAt': '2020-12-21T06:23:00Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-748786599', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-21T06:36:04Z', 'updatedAt': '2020-12-21T06:36:04Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-748791918', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T10:11:49Z', 'updatedAt': '2020-12-26T10:11:49Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-751341234', 'author': {'login': 'ottok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2021-01-10T22:33:58Z', 'updatedAt': '2021-01-10T22:33:58Z', 'url': 'https://github.com/MariaDB/server/pull/1717#issuecomment-757555830', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,10.209918981481481
7,OPEN,MDExOlB1bGxSZXF1ZXN0NTQzMTEwMTE5,MDEV-23892: Misc fixes to MIPS build and run compatibility,https://github.com/MariaDB/server/pull/1716,2020-12-20 18:46:24+00:00,2021-01-10T22:32:02Z,,{'edges': []},1716,CONTRIBUTOR,ottok,,,43,90,9,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-12-26T10:09:09Z', 'updatedAt': '2020-12-26T10:09:09Z', 'url': 'https://github.com/MariaDB/server/pull/1716#issuecomment-751341054', 'author': {'login': 'ottok'}}}]}",MariaDB,server,10.217777777777778
8,OPEN,MDExOlB1bGxSZXF1ZXN0NTQyMDY3Nzk5,Update errmsg-utf8.txt,https://github.com/MariaDB/server/pull/1715,2020-12-17 19:09:24+00:00,2021-01-08T09:26:25Z,,{'edges': []},1715,FIRST_TIME_CONTRIBUTOR,jesusaplsoftware,,,245,1150,1,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-04T10:37:10Z', 'updatedAt': '2021-01-04T10:37:10Z', 'url': 'https://github.com/MariaDB/server/pull/1715#issuecomment-753897762', 'author': {'login': 'iangilfillan'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2021-01-05T11:33:08Z', 'updatedAt': '2021-01-08T09:25:25Z', 'url': 'https://github.com/MariaDB/server/pull/1715#issuecomment-754581464', 'author': {'login': 'fauust'}}}]}",MariaDB,server,13.201805555555556
9,OPEN,MDExOlB1bGxSZXF1ZXN0NTI0NTcxMjE4,MDEV-18280: Galera test failure on galera_split_brain and galera_kill_nochanges,https://github.com/MariaDB/server/pull/1706,2020-11-20 09:27:34+00:00,2020-11-21T04:18:18Z,,{'edges': []},1706,CONTRIBUTOR,mkaruza,,,9,5,4,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-11-20T09:27:43Z', 'updatedAt': '2020-11-20T09:27:43Z', 'url': 'https://github.com/MariaDB/server/pull/1706#issuecomment-731053387', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,40.60585648148148
