,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,deletions,additions,changedFiles,comments,org,repo,openTimeDays
0,CLOSED,MDExOlB1bGxSZXF1ZXN0MjIzODg0Mjc=,mdev 6817,https://github.com/MariaDB/server/pull/13,2014-10-07 22:20:28+00:00,2019-09-04T07:22:12Z,2019-09-04 07:22:12+00:00,{'edges': []},13,NONE,rspadim,,,2,4,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:45Z', 'updatedAt': '2018-03-05T20:24:45Z', 'url': 'https://github.com/MariaDB/server/pull/13#issuecomment-370552679', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-06-05T13:00:57Z', 'updatedAt': '2019-06-05T13:01:29Z', 'url': 'https://github.com/MariaDB/server/pull/13#issuecomment-499072849', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-06-05T13:05:26Z', 'updatedAt': '2019-06-05T13:05:26Z', 'url': 'https://github.com/MariaDB/server/pull/13#issuecomment-499074511', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-09-04T07:22:12Z', 'updatedAt': '2019-09-04T07:22:12Z', 'url': 'https://github.com/MariaDB/server/pull/13#issuecomment-527777159', 'author': {'login': 'montywi'}}}]}",MariaDB,server,84.06912037037037
1,CLOSED,MDExOlB1bGxSZXF1ZXN0MjIyODk1ODA=,Page encryption for XtraDB,https://github.com/MariaDB/server/pull/12,2014-10-06 14:55:58+00:00,2015-04-10T17:30:47Z,2015-04-10 17:30:47+00:00,{'edges': []},12,NONE,eperi-GmbH,,,314,11086,93,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2014-10-31T13:26:06Z', 'updatedAt': '2014-10-31T13:26:06Z', 'url': 'https://github.com/MariaDB/server/pull/12#issuecomment-61259210', 'author': {'login': 'eperi-GmbH'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2014-10-31T14:28:41Z', 'updatedAt': '2014-10-31T14:31:02Z', 'url': 'https://github.com/MariaDB/server/pull/12#issuecomment-61267897', 'author': {'login': 'rspadim'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2015-04-10T17:30:47Z', 'updatedAt': '2015-04-10T17:30:47Z', 'url': 'https://github.com/MariaDB/server/pull/12#issuecomment-91628910', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,85.37780092592592
2,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE3NTg4NTQ=,MDEV-6781 view with wrong table name,https://github.com/MariaDB/server/pull/10,2014-09-25 03:04:24+00:00,2015-05-17T07:37:06Z,2015-05-17 07:37:06+00:00,{'edges': []},10,NONE,rspadim,,,1,1,1,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2015-05-17T07:13:13Z', 'updatedAt': '2015-05-17T07:13:13Z', 'url': 'https://github.com/MariaDB/server/pull/10#issuecomment-102757353', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,96.87194444444444
3,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE2MjI4MDI=,MDEV 6766,https://github.com/MariaDB/server/pull/8,2014-09-23 03:00:41+00:00,2019-09-03T11:40:02Z,2019-09-03 11:40:02+00:00,{'edges': []},8,NONE,rspadim,,,9,47,5,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:49Z', 'updatedAt': '2018-03-05T20:24:49Z', 'url': 'https://github.com/MariaDB/server/pull/8#issuecomment-370552696', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-06-05T12:25:18Z', 'updatedAt': '2019-06-05T12:25:18Z', 'url': 'https://github.com/MariaDB/server/pull/8#issuecomment-499061117', 'author': {'login': 'sanja-byelkin'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-09-03T11:40:02Z', 'updatedAt': '2019-09-03T11:40:02Z', 'url': 'https://github.com/MariaDB/server/pull/8#issuecomment-527422122', 'author': {'login': 'sanja-byelkin'}}}]}",MariaDB,server,98.87452546296296
4,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE2MTAxNzk=,MDEV-6631 / MDEV-7132,https://github.com/MariaDB/server/pull/7,2014-09-22 21:23:37+00:00,2019-09-03T11:37:45Z,2019-09-03 11:37:45+00:00,{'edges': []},7,NONE,rspadim,,,12,58,3,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:53Z', 'updatedAt': '2018-03-05T20:24:53Z', 'url': 'https://github.com/MariaDB/server/pull/7#issuecomment-370552715', 'author': {'login': 'codership-jenkins'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-09-03T11:37:45Z', 'updatedAt': '2019-09-03T11:37:45Z', 'url': 'https://github.com/MariaDB/server/pull/7#issuecomment-527421462', 'author': {'login': 'sanja-byelkin'}}}]}",MariaDB,server,99.10859953703704
5,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE1MzI5OTI=,MDEV-4682 - Include statistic fields to query cache and qc_info,https://github.com/MariaDB/server/pull/6,2014-09-20 02:55:19+00:00,2016-02-18T05:56:50Z,2016-02-18 05:56:50+00:00,{'edges': []},6,NONE,rspadim,,,64,705,10,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2014-09-27T01:20:35Z', 'updatedAt': '2014-09-27T01:20:35Z', 'url': 'https://github.com/MariaDB/server/pull/6#issuecomment-57037928', 'author': {'login': 'rpbouman'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2014-09-27T01:30:26Z', 'updatedAt': '2014-09-27T01:30:26Z', 'url': 'https://github.com/MariaDB/server/pull/6#issuecomment-57038200', 'author': {'login': 'rspadim'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2016-02-18T05:56:44Z', 'updatedAt': '2016-02-18T05:56:44Z', 'url': 'https://github.com/MariaDB/server/pull/6#issuecomment-185555513', 'author': {'login': 'svoj'}}}]}",MariaDB,server,101.87825231481482
6,CLOSED,MDExOlB1bGxSZXF1ZXN0MTc1ODI3NTA=,Added Master_Host to the Replication information,https://github.com/MariaDB/server/pull/3,2014-06-25 10:39:29+00:00,2018-12-13T20:43:20Z,2018-12-13 20:43:20+00:00,{'edges': []},3,NONE,kahun,,,9,10,1,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2016-09-21T09:06:01Z', 'updatedAt': '2016-09-21T09:06:01Z', 'url': 'https://github.com/MariaDB/server/pull/3#issuecomment-248553933', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-03-05T20:24:55Z', 'updatedAt': '2018-03-05T20:24:55Z', 'url': 'https://github.com/MariaDB/server/pull/3#issuecomment-370552727', 'author': {'login': 'codership-jenkins'}}}]}",MariaDB,server,188.55591435185184
7,CLOSED,MDExOlB1bGxSZXF1ZXN0MTc0NDcyODI=,Implementation of mdev-5871,https://github.com/MariaDB/server/pull/2,2014-06-22 10:34:38+00:00,2015-04-22T16:41:02Z,2015-04-22 16:41:02+00:00,{'edges': []},2,CONTRIBUTOR,pastcompute,,,49,256,8,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2015-04-22T16:41:02Z', 'updatedAt': '2015-04-22T16:41:02Z', 'url': 'https://github.com/MariaDB/server/pull/2#issuecomment-95259361', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,191.5592824074074
