,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,comments,org,repo,openTimeDays
0,OPEN,MDExOlB1bGxSZXF1ZXN0MzU0NTE0Njc3,MDEV-21348: Fix for memory leak in Storage-Engine Independent Column Compression,https://github.com/MariaDB/server/pull/1429,2019-12-18 09:34:00+00:00,2020-02-03T19:26:30Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1429,FIRST_TIME_CONTRIBUTOR,tgmpje,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-18T09:34:15Z', 'updatedAt': '2020-02-03T19:26:30Z', 'url': 'https://github.com/MariaDB/server/pull/1429#issuecomment-566952141', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,12.60138888888889
1,OPEN,MDExOlB1bGxSZXF1ZXN0MzUzMjgzMTgy,MDEV-21322: report slave progress to the master,https://github.com/MariaDB/server/pull/1427,2019-12-15 15:02:49+00:00,2020-02-03T19:26:04Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1427,FIRST_TIME_CONTRIBUTOR,JackSlateur,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-15T15:03:16Z', 'updatedAt': '2020-02-03T19:26:04Z', 'url': 'https://github.com/MariaDB/server/pull/1427#issuecomment-565817349', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-09T07:40:17Z', 'updatedAt': '2020-01-09T07:40:17Z', 'url': 'https://github.com/MariaDB/server/pull/1427#issuecomment-572432916', 'author': {'login': 'JackSlateur'}}}]}",MariaDB,server,15.373043981481482
2,OPEN,MDExOlB1bGxSZXF1ZXN0MzQ0NTMzMzky,MDEV-21108: Add option for setting install paths of groonga storage engine,https://github.com/MariaDB/server/pull/1416,2019-11-22 14:05:40+00:00,2019-11-22T23:23:24Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1416,FIRST_TIME_CONTRIBUTOR,ljavorsk,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T14:05:58Z', 'updatedAt': '2019-11-22T14:05:58Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557544375', 'author': {'login': 'ljavorsk'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T14:06:18Z', 'updatedAt': '2019-11-22T14:09:37Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557544493', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-22T14:11:35Z', 'updatedAt': '2019-11-22T14:11:35Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557546178', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T23:23:24Z', 'updatedAt': '2019-11-22T23:23:24Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557731100', 'author': {'login': 'ljavorsk'}}}]}",MariaDB,server,38.41273148148148
3,OPEN,MDExOlB1bGxSZXF1ZXN0MzQyOTUwNzY5,MDEV-18188: Maintain persistent COUNT(*) in InnoDB,https://github.com/MariaDB/server/pull/1411,2019-11-20 00:04:13+00:00,2020-01-28T03:22:33Z,,{'edges': []},1411,FIRST_TIME_CONTRIBUTOR,tliu22,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-20T00:06:13Z', 'updatedAt': '2019-11-20T18:34:12Z', 'url': 'https://github.com/MariaDB/server/pull/1411#issuecomment-555773359', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-15T16:52:31Z', 'updatedAt': '2020-01-15T16:52:31Z', 'url': 'https://github.com/MariaDB/server/pull/1411#issuecomment-574751499', 'author': {'login': 'tliu22'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-01-28T03:22:33Z', 'updatedAt': '2020-01-28T03:22:33Z', 'url': 'https://github.com/MariaDB/server/pull/1411#issuecomment-579061433', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,40.997071759259256
4,OPEN,MDExOlB1bGxSZXF1ZXN0MzQxMzgxMTUz,MDEV-20720 Galera: Replicate MariaDB GTID to other nodes in the cluster,https://github.com/MariaDB/server/pull/1409,2019-11-15 09:45:01+00:00,2020-01-27T07:22:31Z,,{'edges': []},1409,CONTRIBUTOR,mkaruza,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-15T09:45:17Z', 'updatedAt': '2019-11-15T10:13:20Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-554289570', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-18T15:38:37Z', 'updatedAt': '2019-11-18T15:38:37Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-555070658', 'author': {'login': 'janlindstrom'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-17T09:21:07Z', 'updatedAt': '2020-01-17T09:21:07Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575544006', 'author': {'login': 'SachinSetiya'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-01-17T12:51:48Z', 'updatedAt': '2020-01-17T12:51:48Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575613657', 'author': {'login': 'mkaruza'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-18T10:30:31Z', 'updatedAt': '2020-01-18T10:30:31Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575886338', 'author': {'login': 'SachinSetiya'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-18T13:21:17Z', 'updatedAt': '2020-01-18T13:21:17Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575897973', 'author': {'login': 'svaroqui'}}}]}",MariaDB,server,45.59373842592593
5,OPEN,MDExOlB1bGxSZXF1ZXN0MzI4MDY2Mjg3,MDEV-16662: cmake remove empty INSTALL_DEBUG_TARGET,https://github.com/MariaDB/server/pull/1399,2019-10-15 04:13:47+00:00,2020-02-18T02:18:32Z,,{'edges': []},1399,CONTRIBUTOR,grooverdan,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-02-18T02:18:32Z', 'updatedAt': '2020-02-18T02:18:32Z', 'url': 'https://github.com/MariaDB/server/pull/1399#issuecomment-587241447', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,76.82376157407407
6,OPEN,MDExOlB1bGxSZXF1ZXN0MzI4MDY2MTA4,MDEV-16662: cmake: CMP0026 compatible for dtrace,https://github.com/MariaDB/server/pull/1398,2019-10-15 04:12:57+00:00,2020-02-18T02:19:24Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1398,CONTRIBUTOR,grooverdan,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-02-18T02:19:24Z', 'updatedAt': '2020-02-18T02:19:24Z', 'url': 'https://github.com/MariaDB/server/pull/1398#issuecomment-587241650', 'author': {'login': 'grooverdan'}}}]}",MariaDB,server,76.82434027777778
7,OPEN,MDExOlB1bGxSZXF1ZXN0MzIyODY5ODc0,MDEV-20329 Fix S3 engine OpenSSL race,https://github.com/MariaDB/server/pull/1395,2019-09-30 16:29:29+00:00,2019-12-16T23:38:05Z,,{'edges': []},1395,FIRST_TIME_CONTRIBUTOR,LinuxJedi,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-09-30T16:29:41Z', 'updatedAt': '2019-09-30T16:34:58Z', 'url': 'https://github.com/MariaDB/server/pull/1395#issuecomment-536642006', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,91.3128587962963
8,OPEN,MDExOlB1bGxSZXF1ZXN0MzIxOTQzNTIw,MDEV-20685: 10.4 solaris compile fix,https://github.com/MariaDB/server/pull/1392,2019-09-26 23:22:42+00:00,2020-01-14T12:34:12Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1392,CONTRIBUTOR,grooverdan,,,{'edges': []},MariaDB,server,95.02590277777777
9,OPEN,MDExOlB1bGxSZXF1ZXN0MzExMDM5MjA3,MDEV-5092 Implement UPDATE with result set,https://github.com/MariaDB/server/pull/1382,2019-08-26 18:50:12+00:00,2019-12-16T23:38:06Z,,{'edges': []},1382,FIRST_TIME_CONTRIBUTOR,Mup0c,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-26T18:50:32Z', 'updatedAt': '2019-08-27T11:14:56Z', 'url': 'https://github.com/MariaDB/server/pull/1382#issuecomment-524982596', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,126.21513888888889
10,OPEN,MDExOlB1bGxSZXF1ZXN0MzEwOTg0MzM3,MDEV-6017: Add support for Indexes on Expressions,https://github.com/MariaDB/server/pull/1381,2019-08-26 16:15:17+00:00,2019-12-16T23:38:06Z,,{'edges': []},1381,FIRST_TIME_CONTRIBUTOR,ZeroICQ,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-26T16:15:34Z', 'updatedAt': '2019-10-01T00:04:03Z', 'url': 'https://github.com/MariaDB/server/pull/1381#issuecomment-524924550', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,126.3227199074074
11,OPEN,MDExOlB1bGxSZXF1ZXN0MzEwOTU5OTg1,MDEV-20257 Fix crash in Grant_table_base::init_read_record,https://github.com/MariaDB/server/pull/1380,2019-08-26 15:11:27+00:00,2019-08-30T14:08:03Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1380,MEMBER,robertbindar,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-26T15:11:36Z', 'updatedAt': '2019-08-30T14:08:03Z', 'url': 'https://github.com/MariaDB/server/pull/1380#issuecomment-524899894', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,126.36704861111112
12,OPEN,MDExOlB1bGxSZXF1ZXN0MzA5MzUxMzA1,MDEV-20298 libdbd-mariadb-perl is not always available,https://github.com/MariaDB/server/pull/1377,2019-08-21 06:59:25+00:00,2019-12-16T23:38:06Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1377,MEMBER,robertbindar,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-21T06:59:33Z', 'updatedAt': '2019-08-21T07:01:06Z', 'url': 'https://github.com/MariaDB/server/pull/1377#issuecomment-523324849', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server,131.70873842592593
13,OPEN,MDExOlB1bGxSZXF1ZXN0MzAxNTM4NTQ1,"support row based replication, read and write of MySQL 5.7.x JSON binary",https://github.com/MariaDB/server/pull/1364,2019-07-26 13:21:29+00:00,2019-08-15T05:36:12Z,,{'edges': []},1364,FIRST_TIME_CONTRIBUTOR,Dieken,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-26T13:21:37Z', 'updatedAt': '2019-07-27T14:43:00Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-515448878', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-07-26T17:18:54Z', 'updatedAt': '2019-07-26T17:18:54Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-515532967', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-27T08:23:19Z', 'updatedAt': '2019-07-30T02:39:53Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-515665938', 'author': {'login': 'Dieken'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-12T02:13:48Z', 'updatedAt': '2019-08-12T02:19:10Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-520282852', 'author': {'login': 'Dieken'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-08-14T08:50:09Z', 'updatedAt': '2019-08-14T08:50:09Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-521160217', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-08-15T05:13:36Z', 'updatedAt': '2019-08-15T05:13:36Z', 'url': 'https://github.com/MariaDB/server/pull/1364#issuecomment-521516243', 'author': {'login': 'Dieken'}}}]}",MariaDB,server,157.44341435185186
14,OPEN,MDExOlB1bGxSZXF1ZXN0Mjk1MzMwMjY1,MDEV-19508 Issue with: #define SI_KERNEL in include/my_pthread.h,https://github.com/MariaDB/server/pull/1357,2019-07-08 13:15:19+00:00,2019-09-03T12:20:31Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1357,FIRST_TIME_CONTRIBUTOR,EGuesnet,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-08T13:15:25Z', 'updatedAt': '2019-07-08T13:15:25Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-509220293', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-07-09T09:03:40Z', 'updatedAt': '2019-07-10T08:56:33Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-509557866', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-11T12:11:20Z', 'updatedAt': '2019-07-11T12:11:20Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-510459658', 'author': {'login': 'EGuesnet'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-26T07:36:41Z', 'updatedAt': '2019-07-26T07:36:41Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-515344327', 'author': {'login': 'EGuesnet'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-07-26T13:00:24Z', 'updatedAt': '2019-07-26T13:00:24Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-515441273', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-07-26T13:55:45Z', 'updatedAt': '2019-07-26T13:55:45Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-515462926', 'author': {'login': 'EGuesnet'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-08-24T16:55:22Z', 'updatedAt': '2019-08-24T16:55:22Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-524565511', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-09-03T12:20:31Z', 'updatedAt': '2019-09-03T12:20:31Z', 'url': 'https://github.com/MariaDB/server/pull/1357#issuecomment-527433915', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,175.44769675925926
15,OPEN,MDExOlB1bGxSZXF1ZXN0Mjg3NzkyMDE4,MDEV-17091 - Assertion `old_part_id == m_last_part' failed in ha_partition::update…,https://github.com/MariaDB/server/pull/1336,2019-06-13 07:18:00+00:00,2020-02-18T07:46:00Z,,{'edges': []},1336,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-06-14T12:47:47Z', 'updatedAt': '2019-06-14T12:57:12Z', 'url': 'https://github.com/MariaDB/server/pull/1336#issuecomment-502096295', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:37Z', 'updatedAt': '2020-02-18T07:30:12Z', 'url': 'https://github.com/MariaDB/server/pull/1336#issuecomment-581566216', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-02-18T01:37:07Z', 'updatedAt': '2020-02-18T01:37:07Z', 'url': 'https://github.com/MariaDB/server/pull/1336#issuecomment-587233173', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-02-18T07:06:06Z', 'updatedAt': '2020-02-18T07:46:00Z', 'url': 'https://github.com/MariaDB/server/pull/1336#issuecomment-587312818', 'author': {'login': 'FooBarrior'}}}]}",MariaDB,server,200.69583333333333
16,OPEN,MDExOlB1bGxSZXF1ZXN0Mjg3NzcwMTYy,MDEV-17891 Assertion failures in select_insert::abort_result_set and …,https://github.com/MariaDB/server/pull/1334,2019-06-13 05:50:44+00:00,2020-02-03T19:27:00Z,,{'edges': []},1334,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:05:14Z', 'updatedAt': '2020-02-03T19:27:00Z', 'url': 'https://github.com/MariaDB/server/pull/1334#issuecomment-581566497', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,200.75643518518518
17,OPEN,MDExOlB1bGxSZXF1ZXN0Mjc0MDE3NjYw,MDEV-19316: mysql_secure_installation offers to rename root user,https://github.com/MariaDB/server/pull/1288,2019-04-26 19:54:40+00:00,2020-02-03T19:26:36Z,,{'edges': []},1288,FIRST_TIME_CONTRIBUTOR,ManjotS,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-11T23:02:10Z', 'updatedAt': '2019-12-11T23:02:10Z', 'url': 'https://github.com/MariaDB/server/pull/1288#issuecomment-564772222', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-13T23:16:59Z', 'updatedAt': '2020-02-03T19:26:36Z', 'url': 'https://github.com/MariaDB/server/pull/1288#issuecomment-565645869', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-14T14:57:10Z', 'updatedAt': '2019-12-14T14:57:10Z', 'url': 'https://github.com/MariaDB/server/pull/1288#issuecomment-565724864', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-16T19:01:53Z', 'updatedAt': '2019-12-16T19:02:50Z', 'url': 'https://github.com/MariaDB/server/pull/1288#issuecomment-566196218', 'author': {'login': 'ManjotS'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-16T20:28:10Z', 'updatedAt': '2019-12-16T20:28:10Z', 'url': 'https://github.com/MariaDB/server/pull/1288#issuecomment-566229229', 'author': {'login': 'vuvova'}}}]}",MariaDB,server,248.17037037037036
18,OPEN,MDExOlB1bGxSZXF1ZXN0MjY5MTA0NDM2,MDEV-19227: mysql_plugin doesn't run bootstrap from source,https://github.com/MariaDB/server/pull/1265,2019-04-10 10:39:07+00:00,2020-02-03T19:26:11Z,,{'edges': []},1265,CONTRIBUTOR,an3l,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-10T10:54:44Z', 'updatedAt': '2019-04-10T10:54:44Z', 'url': 'https://github.com/MariaDB/server/pull/1265#issuecomment-481642366', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-10T22:58:54Z', 'updatedAt': '2019-04-10T22:58:54Z', 'url': 'https://github.com/MariaDB/server/pull/1265#issuecomment-481898573', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:28Z', 'updatedAt': '2020-02-03T19:26:11Z', 'url': 'https://github.com/MariaDB/server/pull/1265#issuecomment-581566152', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,264.5561689814815
19,OPEN,MDExOlB1bGxSZXF1ZXN0MjY3NDY3Nzcy,MDEV-13010 NEXTVAL should increment only once for a given row,https://github.com/MariaDB/server/pull/1255,2019-04-04 14:11:57+00:00,2020-02-03T19:26:16Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1255,MEMBER,robertbindar,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-09T12:56:11Z', 'updatedAt': '2020-02-03T19:26:16Z', 'url': 'https://github.com/MariaDB/server/pull/1255#issuecomment-572549201', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,270.40836805555557
20,OPEN,MDExOlB1bGxSZXF1ZXN0MjYyOTU5ODk2,Utilize the INSTALL_PCDIR CMake option also for server pkgconfig file,https://github.com/MariaDB/server/pull/1235,2019-03-20 17:14:05+00:00,2020-02-06T00:51:18Z,,{'edges': []},1235,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-20T17:14:20Z', 'updatedAt': '2019-03-20T17:14:20Z', 'url': 'https://github.com/MariaDB/server/pull/1235#issuecomment-474938326', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-20T17:17:53Z', 'updatedAt': '2019-03-20T17:17:53Z', 'url': 'https://github.com/MariaDB/server/pull/1235#issuecomment-474940043', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-04-17T01:43:17Z', 'updatedAt': '2019-04-17T01:43:17Z', 'url': 'https://github.com/MariaDB/server/pull/1235#issuecomment-483904943', 'author': {'login': 'LaurianoElmiroDuarte'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-02-03T19:04:40Z', 'updatedAt': '2020-02-06T00:51:18Z', 'url': 'https://github.com/MariaDB/server/pull/1235#issuecomment-581566242', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server,285.28188657407406
