,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,comments,org,repo,openTimeDays
68,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM1NDI0NDA1,Fix resource leak,https://github.com/MariaDB/server/pull/984,2018-12-03 12:08:39+00:00,2019-01-14T09:15:16Z,2019-01-14 09:15:15+00:00,{'edges': [{'node': {'name': 'license-mca'}}]},984,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T12:09:42Z', 'updatedAt': '2018-12-03T12:09:42Z', 'url': 'https://github.com/MariaDB/server/pull/984#issuecomment-443688655', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T12:11:00Z', 'updatedAt': '2018-12-03T12:11:00Z', 'url': 'https://github.com/MariaDB/server/pull/984#issuecomment-443688937', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T13:05:29Z', 'updatedAt': '2018-12-03T13:05:29Z', 'url': 'https://github.com/MariaDB/server/pull/984#issuecomment-443703338', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T13:18:18Z', 'updatedAt': '2018-12-03T13:18:18Z', 'url': 'https://github.com/MariaDB/server/pull/984#issuecomment-443706751', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-14T09:15:15Z', 'updatedAt': '2019-01-14T09:15:15Z', 'url': 'https://github.com/MariaDB/server/pull/984#issuecomment-453939720', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,27.493993055555556
69,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM1NDIxODg3,Fix resource leak,https://github.com/MariaDB/server/pull/983,2018-12-03 11:59:54+00:00,2019-01-14T09:14:34Z,2019-01-14 09:14:34+00:00,{'edges': [{'node': {'name': 'license-mca'}}]},983,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T12:02:11Z', 'updatedAt': '2018-12-03T12:02:11Z', 'url': 'https://github.com/MariaDB/server/pull/983#issuecomment-443686866', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-14T09:14:34Z', 'updatedAt': '2019-01-14T09:14:34Z', 'url': 'https://github.com/MariaDB/server/pull/983#issuecomment-453939506', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,27.500069444444446
70,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM1NDAxMDYy,MDEV-15563 Instant failure-free data type conversions,https://github.com/MariaDB/server/pull/981,2018-12-03 10:46:28+00:00,2019-03-29T18:35:13Z,2019-02-13 16:58:52+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},981,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-03T11:00:25Z', 'updatedAt': '2018-12-03T11:00:25Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-443670828', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-04T07:01:03Z', 'updatedAt': '2018-12-04T07:01:20Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-443993239', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-03T11:09:42Z', 'updatedAt': '2019-01-03T11:09:42Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-451114167', 'author': {'login': 'mleich1'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-15T16:11:22Z', 'updatedAt': '2019-01-15T16:11:22Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-454449563', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-16T08:05:26Z', 'updatedAt': '2019-01-16T08:05:26Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-454687567', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-18T13:33:34Z', 'updatedAt': '2019-01-18T13:33:34Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-455547437', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-02-13T16:58:52Z', 'updatedAt': '2019-02-13T16:58:52Z', 'url': 'https://github.com/MariaDB/server/pull/981#issuecomment-463279361', 'author': {'login': 'dr-m'}}}]}",MariaDB,server,27.551064814814815
71,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM1MTgyMDA5,Link against libatomic on platforms missing 64-bit atomics,https://github.com/MariaDB/server/pull/978,2018-12-01 09:16:49+00:00,2019-05-09T10:58:27Z,2019-05-09 10:58:26+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},978,FIRST_TIME_CONTRIBUTOR,glaubitz,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-01T19:29:10Z', 'updatedAt': '2018-12-01T19:29:10Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-443452095', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-01T19:59:49Z', 'updatedAt': '2018-12-01T19:59:49Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-443454084', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-01T20:12:40Z', 'updatedAt': '2018-12-01T20:12:40Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-443454941', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-14T09:40:40Z', 'updatedAt': '2018-12-14T09:40:40Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-447270578', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-14T10:45:29Z', 'updatedAt': '2018-12-14T10:45:54Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-447287780', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-12-14T10:57:07Z', 'updatedAt': '2018-12-14T10:57:07Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-447290671', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-14T11:03:59Z', 'updatedAt': '2018-12-14T11:03:59Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-447292354', 'author': {'login': 'glaubitz'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-05-09T10:58:26Z', 'updatedAt': '2019-05-09T10:58:26Z', 'url': 'https://github.com/MariaDB/server/pull/978#issuecomment-490857025', 'author': {'login': 'svoj'}}}]}",MariaDB,server,29.61332175925926
72,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM1MDQyNzc5,Use hostname instead of IP in donor's socat,https://github.com/MariaDB/server/pull/977,2018-11-30 16:25:28+00:00,2019-02-26T14:32:41Z,2019-02-26 14:32:41+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},977,NONE,kobybr,,,{'edges': []},MariaDB,server,30.31564814814815
73,MERGED,MDExOlB1bGxSZXF1ZXN0MjM0ODA2Mjcw,"MDEV-16499 [10.1] ER_NO_SUCH_TABLE_IN_ENGINE followed by ""Please drop the table and recreate"" upon adding FULLTEXT key to table with virtual column",https://github.com/MariaDB/server/pull/973,2018-11-29 22:20:21+00:00,2019-01-14T12:18:21Z,2019-01-14 12:06:27+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},973,CONTRIBUTOR,kevgs,{'login': 'dr-m'},{'oid': 'b4c471099dfd6c94ada59911ada236e6831b5508'},"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-14T08:07:48Z', 'updatedAt': '2018-12-14T08:07:48Z', 'url': 'https://github.com/MariaDB/server/pull/973#issuecomment-447247756', 'author': {'login': 'kevgs'}}}]}",MariaDB,server,31.06920138888889
74,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM0NzU1NDY1,Use hostname instead of IP in donor's socat,https://github.com/MariaDB/server/pull/972,2018-11-29 19:19:25+00:00,2019-02-14T07:29:37Z,2019-02-14 07:29:37+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},972,NONE,kobybr,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T21:47:19Z', 'updatedAt': '2018-11-29T21:47:19Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-443005414', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-11-30T01:39:40Z', 'updatedAt': '2018-11-30T01:39:40Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-443059583', 'author': {'login': 'kobybr'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-30T07:54:40Z', 'updatedAt': '2018-11-30T07:54:40Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-443121395', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-12-31T15:26:58Z', 'updatedAt': '2018-12-31T15:26:58Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-450658228', 'author': {'login': 'kobybr'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-01-14T09:25:01Z', 'updatedAt': '2019-01-14T09:25:01Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-453942230', 'author': {'login': 'dr-m'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-01-14T13:55:19Z', 'updatedAt': '2019-01-14T13:55:19Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-454012268', 'author': {'login': 'kobybr'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-02-14T07:29:36Z', 'updatedAt': '2019-02-14T07:29:36Z', 'url': 'https://github.com/MariaDB/server/pull/972#issuecomment-463522014', 'author': {'login': 'janlindstrom'}}}]}",MariaDB,server,31.194849537037037
75,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM0NzE1MDU5,Update README,https://github.com/MariaDB/server/pull/970,2018-11-29 17:01:48+00:00,2019-03-22T13:18:31Z,2019-03-22 13:18:30+00:00,{'edges': [{'node': {'name': 'license-bsd-new'}}]},970,NONE,ksrrock,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T18:13:53Z', 'updatedAt': '2018-11-29T18:13:53Z', 'url': 'https://github.com/MariaDB/server/pull/970#issuecomment-442936889', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T18:18:17Z', 'updatedAt': '2018-11-29T18:18:17Z', 'url': 'https://github.com/MariaDB/server/pull/970#issuecomment-442938283', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-11-30T04:59:54Z', 'updatedAt': '2018-11-30T04:59:54Z', 'url': 'https://github.com/MariaDB/server/pull/970#issuecomment-443091824', 'author': {'login': 'ksrrock'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-22T13:18:30Z', 'updatedAt': '2019-03-22T13:18:30Z', 'url': 'https://github.com/MariaDB/server/pull/970#issuecomment-475617418', 'author': {'login': 'svoj'}}}]}",MariaDB,server,31.290416666666665
76,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM0NjcyNjA4,Fix resource leak,https://github.com/MariaDB/server/pull/968,2018-11-29 15:09:08+00:00,2019-03-22T11:35:11Z,2019-03-22 11:35:11+00:00,{'edges': [{'node': {'name': 'license-mca'}}]},968,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T15:10:03Z', 'updatedAt': '2018-11-29T15:10:03Z', 'url': 'https://github.com/MariaDB/server/pull/968#issuecomment-442868014', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T22:25:09Z', 'updatedAt': '2018-11-29T22:25:09Z', 'url': 'https://github.com/MariaDB/server/pull/968#issuecomment-443016805', 'author': {'login': 'kevgs'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T22:58:50Z', 'updatedAt': '2018-11-29T22:59:02Z', 'url': 'https://github.com/MariaDB/server/pull/968#issuecomment-443025666', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-22T11:35:11Z', 'updatedAt': '2019-03-22T11:35:11Z', 'url': 'https://github.com/MariaDB/server/pull/968#issuecomment-475587517', 'author': {'login': 'svoj'}}}]}",MariaDB,server,31.368657407407408
77,CLOSED,MDExOlB1bGxSZXF1ZXN0MjM0NjY5MTE5,Fix resource leak,https://github.com/MariaDB/server/pull/967,2018-11-29 14:59:37+00:00,2019-03-22T12:20:13Z,2019-03-22 12:20:13+00:00,{'edges': [{'node': {'name': 'license-mca'}}]},967,CONTRIBUTOR,FaramosCZ,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-29T15:00:44Z', 'updatedAt': '2018-11-29T15:00:44Z', 'url': 'https://github.com/MariaDB/server/pull/967#issuecomment-442864486', 'author': {'login': 'FaramosCZ'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-22T12:20:13Z', 'updatedAt': '2019-03-22T12:20:13Z', 'url': 'https://github.com/MariaDB/server/pull/967#issuecomment-475600174', 'author': {'login': 'svoj'}}}]}",MariaDB,server,31.375266203703703
