,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,comments,org,repo
430,CLOSED,MDExOlB1bGxSZXF1ZXN0MjI0NjE5MDgy,MDEV-17333 Assertion in update_auto_increment() upon exotic LOAD,https://github.com/MariaDB/server/pull/893,2018-10-22T08:42:20Z,2019-10-09T09:33:40Z,2019-10-09T09:33:40Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},893,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-10-09T09:33:40Z', 'updatedAt': '2019-10-09T09:33:40Z', 'url': 'https://github.com/MariaDB/server/pull/893#issuecomment-539921559', 'author': {'login': 'midenok'}}}]}",MariaDB,server
431,MERGED,MDExOlB1bGxSZXF1ZXN0MjI0MjU4NDk1,"MDEV-17508 Fix bug for spider when using ""not like""",https://github.com/MariaDB/server/pull/890,2018-10-19T11:42:33Z,2019-04-16T14:10:06Z,2019-04-16T14:10:06Z,{'edges': [{'node': {'name': 'license-mca'}}]},890,CONTRIBUTOR,willhan123,{'login': 'Kentoku'},{'oid': 'f66e006b08434e8b5e14ae5ffdede8c605646d6b'},"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-19T23:05:27Z', 'updatedAt': '2018-10-19T23:05:27Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-431523118', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-19T23:09:47Z', 'updatedAt': '2018-10-19T23:10:14Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-431523837', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-22T02:12:41Z', 'updatedAt': '2018-10-22T02:12:41Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-431726781', 'author': {'login': 'willhan123'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-10-26T01:13:24Z', 'updatedAt': '2018-10-26T01:13:24Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-433254560', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-26T05:20:42Z', 'updatedAt': '2018-10-26T05:20:42Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-433289748', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2018-10-26T20:25:51Z', 'updatedAt': '2018-10-26T20:25:51Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-433533158', 'author': {'login': 'felixliang'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-30T06:56:08Z', 'updatedAt': '2018-10-30T06:56:08Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-434191660', 'author': {'login': 'willhan123'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-15T11:42:43Z', 'updatedAt': '2019-03-15T11:42:43Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-473255110', 'author': {'login': 'willhan123'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-15T13:03:57Z', 'updatedAt': '2019-03-15T13:03:57Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-473277705', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-18T10:18:34Z', 'updatedAt': '2019-03-18T10:18:34Z', 'url': 'https://github.com/MariaDB/server/pull/890#issuecomment-473850583', 'author': {'login': 'willhan123'}}}]}",MariaDB,server
432,MERGED,MDExOlB1bGxSZXF1ZXN0MjIyMzkwNzk2,MDEV-17323: Backport INFORMATION_SCHEMA.CHECK_CONSTRAINTS,https://github.com/MariaDB/server/pull/882,2018-10-12T08:40:07Z,2019-01-16T11:34:55Z,2019-01-16T11:34:55Z,{'edges': []},882,CONTRIBUTOR,an3l,{'login': 'cvicentiu'},{'oid': 'f3e9d9a6e6b2614bf5d57ccf9434c980e4a90424'},"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-10-14T17:52:43Z', 'updatedAt': '2018-10-14T17:52:43Z', 'url': 'https://github.com/MariaDB/server/pull/882#issuecomment-429647086', 'author': {'login': 'cvicentiu'}}}]}",MariaDB,server
433,MERGED,MDExOlB1bGxSZXF1ZXN0MjIxODMxODQw,MDEV-17421: mtr does not restart the server whose parameters were changed,https://github.com/MariaDB/server/pull/880,2018-10-10T15:20:05Z,2019-01-23T16:03:52Z,2019-01-23T16:03:51Z,{'edges': []},880,CONTRIBUTOR,sysprg,{'login': 'janlindstrom'},{'oid': '2d098933eef9b988da9a57ed294cc8a63582cdcf'},"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-10T16:30:04Z', 'updatedAt': '2018-10-10T16:30:04Z', 'url': 'https://github.com/MariaDB/server/pull/880#issuecomment-428640350', 'author': {'login': 'janlindstrom'}}}]}",MariaDB,server
434,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE5MTM3OTEy,MDEV-17332 use -f with pgrep,https://github.com/MariaDB/server/pull/873,2018-09-29T09:36:36Z,2019-07-08T11:26:07Z,2019-07-08T11:26:06Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},873,CONTRIBUTOR,mostafahussein,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-01T10:49:24Z', 'updatedAt': '2018-10-01T10:49:24Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-425865420', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-01T12:51:23Z', 'updatedAt': '2018-10-01T13:21:01Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-425895667', 'author': {'login': 'mostafahussein'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-01T13:04:55Z', 'updatedAt': '2018-10-01T13:08:51Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-425900057', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-01T13:21:36Z', 'updatedAt': '2018-10-01T13:21:36Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-425905182', 'author': {'login': 'mostafahussein'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-10-17T17:32:58Z', 'updatedAt': '2018-10-17T17:32:58Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-430719080', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-11T10:01:37Z', 'updatedAt': '2019-03-12T10:18:55Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-471476312', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-03-12T08:31:33Z', 'updatedAt': '2019-03-12T08:31:33Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-471903853', 'author': {'login': 'fauust'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-07-08T11:26:06Z', 'updatedAt': '2019-07-08T11:26:06Z', 'url': 'https://github.com/MariaDB/server/pull/873#issuecomment-509187043', 'author': {'login': 'an3l'}}}]}",MariaDB,server
435,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE3Mjc1OTM2,MDEV-15951 system versioning by trx id doesn't work with partitioning,https://github.com/MariaDB/server/pull/870,2018-09-21T12:59:19Z,2019-04-02T08:07:27Z,2019-04-02T08:07:27Z,{'edges': []},870,CONTRIBUTOR,FooBarrior,,,{'edges': []},MariaDB,server
436,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE2ODczMjE0,MDEV-16370 row-based binlog events (updates by primary key) can not b…,https://github.com/MariaDB/server/pull/869,2018-09-20T07:41:51Z,2019-04-29T14:51:41Z,2019-04-29T14:51:41Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},869,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-29T14:51:41Z', 'updatedAt': '2019-04-29T14:51:41Z', 'url': 'https://github.com/MariaDB/server/pull/869#issuecomment-487611313', 'author': {'login': 'midenok'}}}]}",MariaDB,server
437,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE2NTQ1Nzgw,"MDEV-17082, MDEV-16973, MDEV-16974, MDEV-16975, MDEV-16978  Application-time periods support: CREATE, DELETE, UPDATE, ALTER TABLE, WITHOUT OVERLAPS",https://github.com/MariaDB/server/pull/867,2018-09-19T07:54:56Z,2019-02-04T23:35:49Z,2019-02-04T23:35:49Z,{'edges': []},867,CONTRIBUTOR,FooBarrior,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-09-24T04:40:32Z', 'updatedAt': '2018-09-24T04:40:47Z', 'url': 'https://github.com/MariaDB/server/pull/867#issuecomment-423875736', 'author': {'login': 'FooBarrior'}}}]}",MariaDB,server
438,CLOSED,MDExOlB1bGxSZXF1ZXN0MjE0MjU2NTcx,MDEV-16937 Strict SQL with system versioned tables causes issues,https://github.com/MariaDB/server/pull/862,2018-09-10T09:50:00Z,2019-09-06T18:31:50Z,2019-09-06T18:31:49Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},862,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-11-01T17:16:26Z', 'updatedAt': '2018-11-01T17:16:26Z', 'url': 'https://github.com/MariaDB/server/pull/862#issuecomment-435114955', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-03-28T21:47:32Z', 'updatedAt': '2019-03-28T21:47:32Z', 'url': 'https://github.com/MariaDB/server/pull/862#issuecomment-477783527', 'author': {'login': 'vuvova'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-04-01T10:26:23Z', 'updatedAt': '2019-04-01T10:26:23Z', 'url': 'https://github.com/MariaDB/server/pull/862#issuecomment-478524263', 'author': {'login': 'midenok'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-09-06T18:31:49Z', 'updatedAt': '2019-09-06T18:31:49Z', 'url': 'https://github.com/MariaDB/server/pull/862#issuecomment-528965497', 'author': {'login': 'midenok'}}}]}",MariaDB,server
439,CLOSED,MDExOlB1bGxSZXF1ZXN0MjEzNTg2OTkx,MDEV-12715: Remove mysql.user.password column,https://github.com/MariaDB/server/pull/861,2018-09-06T11:37:37Z,2019-02-05T14:23:49Z,2019-02-05T14:23:49Z,{'edges': []},861,CONTRIBUTOR,an3l,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-02-05T02:37:22Z', 'updatedAt': '2019-02-05T02:37:22Z', 'url': 'https://github.com/MariaDB/server/pull/861#issuecomment-460492425', 'author': {'login': 'grooverdan'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-02-05T14:23:49Z', 'updatedAt': '2019-02-05T14:23:49Z', 'url': 'https://github.com/MariaDB/server/pull/861#issuecomment-460655477', 'author': {'login': 'vuvova'}}}]}",MariaDB,server
440,CLOSED,MDExOlB1bGxSZXF1ZXN0MjEyNzM4OTM2,MDEV-16144 Default TIMESTAMP clause for SELECT from versioned,https://github.com/MariaDB/server/pull/860,2018-09-03T12:49:32Z,2019-09-06T15:25:17Z,2019-09-06T15:25:16Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},860,CONTRIBUTOR,midenok,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-09-06T15:25:16Z', 'updatedAt': '2019-09-06T15:25:16Z', 'url': 'https://github.com/MariaDB/server/pull/860#issuecomment-528899569', 'author': {'login': 'midenok'}}}]}",MariaDB,server
441,CLOSED,MDExOlB1bGxSZXF1ZXN0MjEwOTM2OTMy,MDEV-307 Add functionality for database comments,https://github.com/MariaDB/server/pull/853,2018-08-26T06:35:42Z,2019-05-21T06:55:11Z,2019-05-21T06:55:11Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},853,CONTRIBUTOR,tntnatbry,,,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-08-29T07:54:37Z', 'updatedAt': '2018-08-29T07:54:37Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-416860504', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-08-29T14:35:49Z', 'updatedAt': '2018-08-29T14:35:49Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-416977008', 'author': {'login': 'tntnatbry'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-08-29T15:13:12Z', 'updatedAt': '2018-08-29T15:13:12Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-416990550', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-08-30T06:31:42Z', 'updatedAt': '2018-08-30T06:31:42Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-417205067', 'author': {'login': 'tntnatbry'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-09-04T04:49:01Z', 'updatedAt': '2018-09-04T04:49:01Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-418240187', 'author': {'login': 'tntnatbry'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2018-12-12T04:36:52Z', 'updatedAt': '2018-12-12T04:36:52Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-446459335', 'author': {'login': 'tntnatbry'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-05-11T18:22:55Z', 'updatedAt': '2019-05-11T18:22:55Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-491533483', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-05-16T08:33:05Z', 'updatedAt': '2019-05-16T08:33:05Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-492972846', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-05-21T06:55:11Z', 'updatedAt': '2019-05-21T06:55:11Z', 'url': 'https://github.com/MariaDB/server/pull/853#issuecomment-494264063', 'author': {'login': 'robertbindar'}}}]}",MariaDB,server
442,CLOSED,MDExOlB1bGxSZXF1ZXN0MjEwODQxNDM3,Add condition when processing the apc request for unittest,https://github.com/MariaDB/server/pull/852,2018-08-24T20:29:52Z,2019-09-06T07:56:53Z,2019-09-06T07:56:53Z,{'edges': []},852,CONTRIBUTOR,an3l,,,{'edges': []},MariaDB,server
443,CLOSED,MDExOlB1bGxSZXF1ZXN0MjA5MzMxNTYw,MDEV-17016: Fixed failed assertion in the ha_partition::external_lock(),https://github.com/MariaDB/server/pull/845,2018-08-18T21:33:36Z,2019-02-15T01:57:30Z,2019-02-15T01:57:30Z,{'edges': []},845,CONTRIBUTOR,sysprg,,,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-08-25T15:10:39Z', 'updatedAt': '2018-08-25T15:10:39Z', 'url': 'https://github.com/MariaDB/server/pull/845#issuecomment-415975764', 'author': {'login': 'cvicentiu'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2018-08-25T15:11:45Z', 'updatedAt': '2018-08-25T15:11:45Z', 'url': 'https://github.com/MariaDB/server/pull/845#issuecomment-415975834', 'author': {'login': 'cvicentiu'}}}]}",MariaDB,server
