,state,id,title,url,createdAt,updatedAt,closedAt,labels,number,authorAssociation,author,mergedBy,mergeCommit,comments,org,repo
0,MERGED,MDExOlB1bGxSZXF1ZXN0MzU4MjA5MTE1,MDEV-20732 Correctly set the length of the FORMAT() result for float data type as argument.,https://github.com/MariaDB/server/pull/1431,2019-12-30T20:30:10Z,2020-01-16T07:46:59Z,2020-01-16T07:46:59Z,{'edges': []},1431,CONTRIBUTOR,tntnatbry,{'login': 'robertbindar'},{'oid': 'f0ca9bc669c742bab5a122e4caddb4b12a8c6c45'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-30T20:30:26Z', 'updatedAt': '2020-01-15T14:52:17Z', 'url': 'https://github.com/MariaDB/server/pull/1431#issuecomment-569787900', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-15T14:08:59Z', 'updatedAt': '2020-01-15T14:08:59Z', 'url': 'https://github.com/MariaDB/server/pull/1431#issuecomment-574675238', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-15T14:43:35Z', 'updatedAt': '2020-01-15T14:43:35Z', 'url': 'https://github.com/MariaDB/server/pull/1431#issuecomment-574690285', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-01-15T17:31:07Z', 'updatedAt': '2020-01-15T17:31:07Z', 'url': 'https://github.com/MariaDB/server/pull/1431#issuecomment-574768177', 'author': {'login': 'tntnatbry'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-16T07:46:41Z', 'updatedAt': '2020-01-16T07:46:41Z', 'url': 'https://github.com/MariaDB/server/pull/1431#issuecomment-575026250', 'author': {'login': 'robertbindar'}}}]}",MariaDB,server
1,MERGED,MDExOlB1bGxSZXF1ZXN0MzU4MTI0MTkz,MDEV-20793 Assertion failed after replay.,https://github.com/MariaDB/server/pull/1430,2019-12-30T14:15:23Z,2019-12-31T09:46:56Z,2019-12-31T09:46:56Z,{'edges': []},1430,CONTRIBUTOR,temeo,{'login': 'janlindstrom'},{'oid': '13b3d7f1f17ddc74fc150726953dc252ece7fecb'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-30T14:15:47Z', 'updatedAt': '2019-12-30T14:15:47Z', 'url': 'https://github.com/MariaDB/server/pull/1430#issuecomment-569690182', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
2,OPEN,MDExOlB1bGxSZXF1ZXN0MzU0NTE0Njc3,MDEV-21348: Fix for memory leak in Storage-Engine Independent Column Compression,https://github.com/MariaDB/server/pull/1429,2019-12-18T09:34:00Z,2019-12-31T08:58:17Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1429,FIRST_TIME_CONTRIBUTOR,tgmpje,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-18T09:34:15Z', 'updatedAt': '2019-12-18T09:35:31Z', 'url': 'https://github.com/MariaDB/server/pull/1429#issuecomment-566952141', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
3,CLOSED,MDExOlB1bGxSZXF1ZXN0MzU0MTY4NDcz,Fix legacy type detection in datadict,https://github.com/MariaDB/server/pull/1428,2019-12-17T15:33:45Z,2019-12-18T10:36:30Z,2019-12-18T10:36:04Z,{'edges': []},1428,FIRST_TIME_CONTRIBUTOR,LinuxJedi,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-17T15:33:53Z', 'updatedAt': '2019-12-17T15:33:53Z', 'url': 'https://github.com/MariaDB/server/pull/1428#issuecomment-566593321', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-17T15:52:37Z', 'updatedAt': '2019-12-17T15:54:44Z', 'url': 'https://github.com/MariaDB/server/pull/1428#issuecomment-566602042', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-17T16:04:12Z', 'updatedAt': '2019-12-17T16:04:12Z', 'url': 'https://github.com/MariaDB/server/pull/1428#issuecomment-566612454', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-17T16:30:14Z', 'updatedAt': '2019-12-17T16:30:14Z', 'url': 'https://github.com/MariaDB/server/pull/1428#issuecomment-566640796', 'author': {'login': 'LinuxJedi'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-18T10:36:04Z', 'updatedAt': '2019-12-18T10:36:04Z', 'url': 'https://github.com/MariaDB/server/pull/1428#issuecomment-566975519', 'author': {'login': 'an3l'}}}]}",MariaDB,server
4,OPEN,MDExOlB1bGxSZXF1ZXN0MzUzMjgzMTgy,MDEV-21322: report slave progress to the master,https://github.com/MariaDB/server/pull/1427,2019-12-15T15:02:49Z,2020-01-09T07:40:17Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1427,FIRST_TIME_CONTRIBUTOR,JackSlateur,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-15T15:03:16Z', 'updatedAt': '2019-12-15T19:41:54Z', 'url': 'https://github.com/MariaDB/server/pull/1427#issuecomment-565817349', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-09T07:40:17Z', 'updatedAt': '2020-01-09T07:40:17Z', 'url': 'https://github.com/MariaDB/server/pull/1427#issuecomment-572432916', 'author': {'login': 'JackSlateur'}}}]}",MariaDB,server
5,MERGED,MDExOlB1bGxSZXF1ZXN0MzUyNTg5NTU5,Update wsrep-lib.,https://github.com/MariaDB/server/pull/1426,2019-12-12T20:08:53Z,2019-12-16T05:50:15Z,2019-12-16T05:50:15Z,{'edges': []},1426,CONTRIBUTOR,temeo,{'login': 'janlindstrom'},{'oid': '67e063eb94c3b5618d7ccf29bead705605a50fd1'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-12T20:09:11Z', 'updatedAt': '2019-12-12T20:14:46Z', 'url': 'https://github.com/MariaDB/server/pull/1426#issuecomment-565165888', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
6,MERGED,MDExOlB1bGxSZXF1ZXN0MzUxODQ0MjA3,MDEV-20780 Fixes for failures on galera_sr_ddl_master,https://github.com/MariaDB/server/pull/1425,2019-12-11T10:44:08Z,2019-12-11T12:08:07Z,2019-12-11T12:08:07Z,{'edges': []},1425,CONTRIBUTOR,sciascid,{'login': 'janlindstrom'},{'oid': '72a5a4f1d51aca36a8c87b845a7a8fb615a6ca74'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T10:44:25Z', 'updatedAt': '2019-12-11T10:44:25Z', 'url': 'https://github.com/MariaDB/server/pull/1425#issuecomment-564484264', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
7,OPEN,MDExOlB1bGxSZXF1ZXN0MzUwMzk1MTMx,MDEV-21248: Prevent optimizing out buf argument in check_stack_overrun.,https://github.com/MariaDB/server/pull/1424,2019-12-08T09:54:16Z,2020-01-22T09:24:12Z,,{'edges': [{'node': {'name': 'license-mca'}}]},1424,FIRST_TIME_CONTRIBUTOR,marxin,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-08T09:55:02Z', 'updatedAt': '2020-01-22T09:24:12Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-562929756', 'author': {'login': 'claassistantio'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-11T11:31:41Z', 'updatedAt': '2019-12-11T11:31:41Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564500259', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T11:57:43Z', 'updatedAt': '2019-12-11T11:57:43Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564508327', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-11T12:19:04Z', 'updatedAt': '2019-12-11T12:19:04Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564515081', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T12:22:37Z', 'updatedAt': '2019-12-11T12:22:37Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564516264', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-11T12:38:10Z', 'updatedAt': '2019-12-11T12:38:10Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564521429', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-11T13:41:23Z', 'updatedAt': '2019-12-11T13:41:23Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564545527', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T13:55:04Z', 'updatedAt': '2019-12-11T13:55:04Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564552061', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T14:06:55Z', 'updatedAt': '2019-12-11T14:06:55Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564557615', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-11T14:08:00Z', 'updatedAt': '2019-12-11T14:08:00Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564558102', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-11T14:10:05Z', 'updatedAt': '2019-12-11T14:10:05Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564558978', 'author': {'login': 'svoj'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T14:10:45Z', 'updatedAt': '2019-12-11T14:10:45Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564559291', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T14:12:01Z', 'updatedAt': '2019-12-11T14:12:01Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564559878', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-11T14:46:38Z', 'updatedAt': '2019-12-11T14:46:38Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564577938', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-11T14:48:01Z', 'updatedAt': '2019-12-11T14:48:01Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564578660', 'author': {'login': 'marxin'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-11T16:31:04Z', 'updatedAt': '2019-12-11T16:31:04Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-564625426', 'author': {'login': 'vaintroub'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-02T08:30:43Z', 'updatedAt': '2020-01-02T08:30:43Z', 'url': 'https://github.com/MariaDB/server/pull/1424#issuecomment-570143990', 'author': {'login': 'marxin'}}}]}",MariaDB,server
8,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ5OTY5ODk5,MDEV-21229 Update wsrep-lib to deal with libstdc++ vector assertion,https://github.com/MariaDB/server/pull/1423,2019-12-06T13:40:31Z,2019-12-12T13:40:16Z,2019-12-09T05:45:41Z,{'edges': []},1423,CONTRIBUTOR,temeo,{'login': 'janlindstrom'},{'oid': '9a6212008999da44b136605c1abf2cc9c7cc4b2c'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-06T13:40:39Z', 'updatedAt': '2019-12-06T13:40:39Z', 'url': 'https://github.com/MariaDB/server/pull/1423#issuecomment-562575357', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
9,CLOSED,MDExOlB1bGxSZXF1ZXN0MzQ5MjY5NTc1,MDEV-21227: Use get_ident_len in heartbeat event error messages,https://github.com/MariaDB/server/pull/1422,2019-12-05T06:00:20Z,2020-01-13T13:13:16Z,2020-01-13T13:13:16Z,{'edges': []},1422,CONTRIBUTOR,markus456,,,"{'edges': [{'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-13T09:27:10Z', 'updatedAt': '2019-12-13T09:27:10Z', 'url': 'https://github.com/MariaDB/server/pull/1422#issuecomment-565367925', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-13T09:29:46Z', 'updatedAt': '2019-12-13T09:30:05Z', 'url': 'https://github.com/MariaDB/server/pull/1422#issuecomment-565368840', 'author': {'login': 'markus456'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-12-17T14:49:58Z', 'updatedAt': '2019-12-17T14:49:58Z', 'url': 'https://github.com/MariaDB/server/pull/1422#issuecomment-566573821', 'author': {'login': 'robertbindar'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-13T13:13:16Z', 'updatedAt': '2020-01-13T13:13:16Z', 'url': 'https://github.com/MariaDB/server/pull/1422#issuecomment-573656439', 'author': {'login': 'robertbindar'}}}]}",MariaDB,server
10,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ4MjE4ODQ5,MDEV-20848 Fixes for MTR test galera_sr.GCF-1060,https://github.com/MariaDB/server/pull/1421,2019-12-03T09:32:45Z,2019-12-04T07:21:15Z,2019-12-04T07:21:15Z,{'edges': []},1421,CONTRIBUTOR,sciascid,{'login': 'janlindstrom'},{'oid': 'aab6cefe8dc132ec6a16e6af5c616765671ac9af'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-12-03T09:32:51Z', 'updatedAt': '2019-12-03T09:32:51Z', 'url': 'https://github.com/MariaDB/server/pull/1421#issuecomment-561079440', 'author': {'login': 'claassistantio'}}}]}",MariaDB,server
11,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ3MDgwNzI5,Sourced script should be 644 not 755,https://github.com/MariaDB/server/pull/1420,2019-11-29T14:59:59Z,2019-12-04T08:15:06Z,2019-12-02T10:54:33Z,{'edges': []},1420,CONTRIBUTOR,fauust,{'login': 'cvicentiu'},{'oid': '7e917bba5d8318765ae3074bcb7c2634ea84ab45'},{'edges': []},MariaDB,server
12,CLOSED,MDExOlB1bGxSZXF1ZXN0MzQ3MDI4MDM3,Fix the line break warning (groff/lintian).,https://github.com/MariaDB/server/pull/1419,2019-11-29T12:29:18Z,2019-12-04T08:15:07Z,2019-12-02T14:44:59Z,{'edges': []},1419,CONTRIBUTOR,fauust,,,"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-12-02T14:44:53Z', 'updatedAt': '2019-12-02T14:44:53Z', 'url': 'https://github.com/MariaDB/server/pull/1419#issuecomment-560426511', 'author': {'login': 'an3l'}}}]}",MariaDB,server
13,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ0OTI2ODQ3,MDEV-19572 async slave node fails to apply MyISAM only writes,https://github.com/MariaDB/server/pull/1418,2019-11-24T16:58:03Z,2019-11-26T06:49:51Z,2019-11-26T06:49:51Z,{'edges': []},1418,CONTRIBUTOR,sjaakola,{'login': 'janlindstrom'},{'oid': '38839854b7c097b33f34b2228c4240fe837fda79'},{'edges': []},MariaDB,server
14,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ0OTIxNzEw,MDEV-21140: make galera_recovery.sh work with fs.protected_regular = 1,https://github.com/MariaDB/server/pull/1417,2019-11-24T16:00:30Z,2019-11-28T12:37:58Z,2019-11-28T12:37:58Z,{'edges': [{'node': {'name': 'license-mca'}}]},1417,CONTRIBUTOR,patrakov,{'login': 'janlindstrom'},{'oid': 'f6003fbc8cbd6779b6e7fcf5b05293b54a4948f8'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-24T16:00:42Z', 'updatedAt': '2019-11-24T16:18:22Z', 'url': 'https://github.com/MariaDB/server/pull/1417#issuecomment-557901993', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-24T16:50:24Z', 'updatedAt': '2019-11-24T16:50:24Z', 'url': 'https://github.com/MariaDB/server/pull/1417#issuecomment-557906502', 'author': {'login': 'patrakov'}}}]}",MariaDB,server
15,OPEN,MDExOlB1bGxSZXF1ZXN0MzQ0NTMzMzky,MDEV-21108: Add option for setting install paths of groonga storage engine,https://github.com/MariaDB/server/pull/1416,2019-11-22T14:05:40Z,2019-11-22T23:23:24Z,,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1416,FIRST_TIME_CONTRIBUTOR,ljavorsk,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T14:05:58Z', 'updatedAt': '2019-11-22T14:05:58Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557544375', 'author': {'login': 'ljavorsk'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T14:06:18Z', 'updatedAt': '2019-11-22T14:09:37Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557544493', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-22T14:11:35Z', 'updatedAt': '2019-11-22T14:11:35Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557546178', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T23:23:24Z', 'updatedAt': '2019-11-22T23:23:24Z', 'url': 'https://github.com/MariaDB/server/pull/1416#issuecomment-557731100', 'author': {'login': 'ljavorsk'}}}]}",MariaDB,server
16,CLOSED,MDExOlB1bGxSZXF1ZXN0MzQ0NTE3MTc5,MDEV-21108: Add option for setting install paths of groonga storage engine,https://github.com/MariaDB/server/pull/1415,2019-11-22T13:29:37Z,2019-11-27T07:43:38Z,2019-11-22T14:02:55Z,{'edges': [{'node': {'name': 'license-bsd-new'}}]},1415,FIRST_TIME_CONTRIBUTOR,ljavorsk,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T13:29:55Z', 'updatedAt': '2019-11-22T14:08:03Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557532100', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-22T13:42:47Z', 'updatedAt': '2019-11-22T13:42:47Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557536380', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T13:44:27Z', 'updatedAt': '2019-11-22T13:44:27Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557536919', 'author': {'login': 'ljavorsk'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-22T13:49:54Z', 'updatedAt': '2019-11-22T13:49:54Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557538786', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T13:54:11Z', 'updatedAt': '2019-11-22T13:54:11Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557540219', 'author': {'login': 'ljavorsk'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-22T13:58:32Z', 'updatedAt': '2019-11-22T13:58:32Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557541716', 'author': {'login': 'an3l'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-22T14:02:55Z', 'updatedAt': '2019-11-22T14:02:55Z', 'url': 'https://github.com/MariaDB/server/pull/1415#issuecomment-557543282', 'author': {'login': 'ljavorsk'}}}]}",MariaDB,server
17,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ0MDk0NDgx,MDEV-21116 Fix incorrect DBUG_ENTER message for join_read_last,https://github.com/MariaDB/server/pull/1414,2019-11-21T15:36:49Z,2019-11-26T13:16:13Z,2019-11-26T10:27:08Z,{'edges': [{'node': {'name': 'license-mca'}}]},1414,CONTRIBUTOR,Shelnutt2,{'login': 'robertbindar'},{'oid': '23664bc7a582f03d1ccb680faec8c65f456e0c72'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-21T15:37:14Z', 'updatedAt': '2019-11-21T15:37:14Z', 'url': 'https://github.com/MariaDB/server/pull/1414#issuecomment-557139558', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2019-11-26T10:29:02Z', 'updatedAt': '2019-11-26T10:29:02Z', 'url': 'https://github.com/MariaDB/server/pull/1414#issuecomment-558566115', 'author': {'login': 'robertbindar'}}}]}",MariaDB,server
18,MERGED,MDExOlB1bGxSZXF1ZXN0MzQ0MDY1OTI4,MDEV-21096 async slave crash with gtid_slave_pos table access,https://github.com/MariaDB/server/pull/1413,2019-11-21T14:41:54Z,2019-11-25T09:19:34Z,2019-11-25T09:19:34Z,{'edges': []},1413,CONTRIBUTOR,sjaakola,{'login': 'janlindstrom'},{'oid': '4111a53079da9850c630ce30eec7f8a38744eacd'},{'edges': []},MariaDB,server
19,MERGED,MDExOlB1bGxSZXF1ZXN0MzQzOTIzMzI3,Fix MTR suppressions in inconsistency voting tests,https://github.com/MariaDB/server/pull/1412,2019-11-21T09:21:13Z,2019-11-22T06:44:05Z,2019-11-22T06:44:05Z,{'edges': []},1412,CONTRIBUTOR,sciascid,{'login': 'janlindstrom'},{'oid': '9d4da685021c3a5501ae1f15e314b6a36c2c3438'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-21T09:21:21Z', 'updatedAt': '2019-11-21T09:21:21Z', 'url': 'https://github.com/MariaDB/server/pull/1412#issuecomment-556993978', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server
20,OPEN,MDExOlB1bGxSZXF1ZXN0MzQyOTUwNzY5,MDEV-18188: Maintain persistent COUNT(*) in InnoDB,https://github.com/MariaDB/server/pull/1411,2019-11-20T00:04:13Z,2020-01-15T16:52:32Z,,{'edges': []},1411,FIRST_TIME_CONTRIBUTOR,tliu22,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-20T00:06:13Z', 'updatedAt': '2019-11-20T18:34:12Z', 'url': 'https://github.com/MariaDB/server/pull/1411#issuecomment-555773359', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-15T16:52:31Z', 'updatedAt': '2020-01-15T16:52:31Z', 'url': 'https://github.com/MariaDB/server/pull/1411#issuecomment-574751499', 'author': {'login': 'tliu22'}}}]}",MariaDB,server
21,MERGED,MDExOlB1bGxSZXF1ZXN0MzQxMzg4NTI4,MDEV-18497 CTAS async replication from mariadb master crashes galera …,https://github.com/MariaDB/server/pull/1410,2019-11-15T10:02:06Z,2019-11-18T13:18:01Z,2019-11-18T13:18:00Z,{'edges': []},1410,CONTRIBUTOR,sjaakola,{'login': 'janlindstrom'},{'oid': '5c68343db713b9a2881809f6e21107d73a7d7b46'},"{'edges': [{'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-15T11:00:26Z', 'updatedAt': '2019-11-15T11:00:26Z', 'url': 'https://github.com/MariaDB/server/pull/1410#issuecomment-554315921', 'author': {'login': 'sjaakola'}}}]}",MariaDB,server
22,OPEN,MDExOlB1bGxSZXF1ZXN0MzQxMzgxMTUz,MDEV-20720 Galera: Replicate MariaDB GTID to other nodes in the cluster,https://github.com/MariaDB/server/pull/1409,2019-11-15T09:45:01Z,2020-01-18T13:21:17Z,,{'edges': []},1409,CONTRIBUTOR,mkaruza,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-15T09:45:17Z', 'updatedAt': '2019-11-15T10:13:20Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-554289570', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-18T15:38:37Z', 'updatedAt': '2019-11-18T15:38:37Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-555070658', 'author': {'login': 'janlindstrom'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-17T09:21:07Z', 'updatedAt': '2020-01-17T09:21:07Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575544006', 'author': {'login': 'SachinSetiya'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2020-01-17T12:51:48Z', 'updatedAt': '2020-01-17T12:51:48Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575613657', 'author': {'login': 'mkaruza'}}}, {'node': {'authorAssociation': 'MEMBER', 'createdAt': '2020-01-18T10:30:31Z', 'updatedAt': '2020-01-18T10:30:31Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575886338', 'author': {'login': 'SachinSetiya'}}}, {'node': {'authorAssociation': 'NONE', 'createdAt': '2020-01-18T13:21:17Z', 'updatedAt': '2020-01-18T13:21:17Z', 'url': 'https://github.com/MariaDB/server/pull/1409#issuecomment-575897973', 'author': {'login': 'svaroqui'}}}]}",MariaDB,server
23,MERGED,MDExOlB1bGxSZXF1ZXN0MzM5OTY4NDU4,"MDEV-18987 bug in ""load data local infile xxx replace into """,https://github.com/MariaDB/server/pull/1408,2019-11-12T15:31:36Z,2019-11-12T15:37:11Z,2019-11-12T15:32:28Z,{'edges': []},1408,CONTRIBUTOR,Kentoku,{'login': 'Kentoku'},{'oid': '83a0eaec080b21e1dff5a66b6d880bded74085f6'},"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-12T15:31:52Z', 'updatedAt': '2019-11-12T15:37:11Z', 'url': 'https://github.com/MariaDB/server/pull/1408#issuecomment-552944714', 'author': {'login': 'CLAassistant'}}}]}",MariaDB,server
24,CLOSED,MDExOlB1bGxSZXF1ZXN0MzM5ODU0MTcw,Fix a typo in mariadb-plugin-mroonga.prerm,https://github.com/MariaDB/server/pull/1407,2019-11-12T11:10:32Z,2019-11-12T15:23:07Z,2019-11-12T15:04:23Z,{'edges': [{'node': {'name': 'license-mca'}}]},1407,CONTRIBUTOR,komainu8,,,"{'edges': [{'node': {'authorAssociation': 'NONE', 'createdAt': '2019-11-12T11:11:22Z', 'updatedAt': '2019-11-12T11:19:30Z', 'url': 'https://github.com/MariaDB/server/pull/1407#issuecomment-552848688', 'author': {'login': 'CLAassistant'}}}, {'node': {'authorAssociation': 'CONTRIBUTOR', 'createdAt': '2019-11-12T15:04:23Z', 'updatedAt': '2019-11-12T15:04:23Z', 'url': 'https://github.com/MariaDB/server/pull/1407#issuecomment-552932088', 'author': {'login': 'an3l'}}}]}",MariaDB,server
